,Response,Income,Recency,SpendingWine,SpendingGreens,SpendingMeat,SpendingFish,SpendingSweets,SpendingGold,ID,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,haveChildren,AcceptedCmp1_0.0,AcceptedCmp1_1.0,AcceptedCmp2_0.0,AcceptedCmp2_1.0,AcceptedCmp3_0.0,AcceptedCmp3_1.0,AcceptedCmp4_0.0,AcceptedCmp4_1.0,AcceptedCmp5_0.0,AcceptedCmp5_1.0,AcceptedCampaigns_0.0,AcceptedCampaigns_1.0,Education_0.0,Education_1.0,Marital_Status_0.0,Marital_Status_1.0
19,0.0,8.0,8.0,9.0,7.0,9.0,0.0,4.0,9.0,6.0,0.13333333333333333,0.4074074074074074,0.14285714285714285,0.6923076923076923,0.25,0.3333333333333333,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False
20,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.155,0.15128968253968253,0.09507334183673469,0.4453983516483517,0.26582589285714286,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
21,0.0,2.0,7.0,1.0,4.0,3.0,4.0,5.0,6.0,2.0,0.13333333333333333,0.07407407407407407,0.03571428571428571,0.23076923076923078,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True
22,0.0,3.0,5.0,4.0,1.0,5.0,6.0,5.0,7.0,8.0,0.06666666666666667,0.14814814814814814,0.07142857142857142,0.38461538461538464,0.4,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
23,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.05,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
24,0.0,6.0,5.0,9.0,0.0,5.0,0.0,0.0,4.0,2.0,0.2,0.07407407407407407,0.10714285714285714,0.6923076923076923,0.4,0.3333333333333333,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False
25,0.0,7.0,0.0,6.0,0.0,6.0,4.0,5.0,2.0,3.0,0.2,0.2222222222222222,0.07142857142857142,0.6923076923076923,0.2,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
26,0.0,3.0,6.0,6.0,1.0,3.0,5.0,2.0,8.0,1.0,0.4666666666666667,0.25925925925925924,0.03571428571428571,0.38461538461538464,0.4,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
27,0.0,0.0,8.0,1.0,2.0,3.0,3.0,3.0,3.0,7.0,0.13333333333333333,0.07407407407407407,0.03571428571428571,0.23076923076923078,0.35000000000000003,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
28,0.0,5.0,0.0,5.0,2.0,4.0,1.0,2.0,6.0,2.0,0.26666666666666666,0.18518518518518517,0.03571428571428571,0.3076923076923077,0.35000000000000003,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
29,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,9.0,5.0,0.0,1.0,0.0,0.0,0.05,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
30,0.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,3.0,8.0,0.13333333333333333,0.07407407407407407,0.03571428571428571,0.3076923076923077,0.15000000000000002,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
31,0.0,9.0,8.0,8.0,7.0,9.0,4.0,6.0,0.0,2.0,0.06666666666666667,0.2222222222222222,0.3214285714285714,0.7692307692307693,0.1,0.0,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False
32,0.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,6.0,0.13333333333333333,0.1111111111111111,0.0,0.23076923076923078,0.25,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
33,0.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,8.0,3.0,0.06666666666666667,0.07407407407407407,0.17857142857142855,0.23076923076923078,0.15000000000000002,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
34,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.13333333333333333,0.07407407407407407,0.03571428571428571,0.3076923076923077,0.25,0.3333333333333333,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False
35,1.0,4.0,0.0,4.0,4.0,5.0,5.0,4.0,7.0,6.0,0.4,0.14814814814814814,0.03571428571428571,0.46153846153846156,0.30000000000000004,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
36,0.0,7.0,0.0,7.0,5.0,8.0,7.0,6.0,5.0,7.0,0.06666666666666667,0.1111111111111111,0.17857142857142855,0.6923076923076923,0.35000000000000003,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
37,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,9.0,0.06666666666666667,0.07407407407407407,0.0,0.23076923076923078,0.35000000000000003,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
38,0.0,7.0,3.0,8.0,4.0,6.0,0.0,3.0,6.0,4.0,0.3333333333333333,0.18518518518518517,0.21428571428571427,0.9230769230769231,0.1,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
39,0.0,1.0,7.0,1.0,1.0,2.0,3.0,3.0,6.0,9.0,0.2,0.1111111111111111,0.03571428571428571,0.15384615384615385,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
40,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.155,0.15128968253968253,0.09507334183673469,0.4453983516483517,0.26582589285714286,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
41,0.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.13333333333333333,0.037037037037037035,0.03571428571428571,0.23076923076923078,0.25,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
42,1.0,4.0,4.0,7.0,3.0,7.0,7.0,6.0,6.0,3.0,0.13333333333333333,0.25925925925925924,0.3571428571428571,0.38461538461538464,0.30000000000000004,0.0,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True
43,0.0,9.0,0.0,7.0,6.0,9.0,6.0,7.0,8.0,7.0,0.13333333333333333,0.2962962962962963,0.21428571428571427,0.38461538461538464,0.2,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
44,0.0,1.0,8.0,2.0,0.0,4.0,1.0,0.0,2.0,0.0,0.13333333333333333,0.07407407407407407,0.0,0.23076923076923078,0.4,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
45,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,0.06666666666666667,0.0,0.0,0.23076923076923078,0.25,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
46,0.0,0.0,7.0,4.0,3.0,4.0,1.0,1.0,6.0,6.0,0.06666666666666667,0.037037037037037035,0.10714285714285714,0.3076923076923077,0.1,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
47,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,0.2,0.07407407407407407,0.0,0.23076923076923078,0.25,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
48,0.0,9.0,6.0,4.0,7.0,7.0,7.0,5.0,9.0,1.0,0.06666666666666667,0.07407407407407407,0.14285714285714285,0.6923076923076923,0.05,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
49,1.0,0.0,2.0,0.0,4.0,2.0,3.0,4.0,7.0,8.0,0.2,0.1111111111111111,0.03571428571428571,0.23076923076923078,0.45,0.0,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
50,0.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,6.0,0.06666666666666667,0.07407407407407407,0.0,0.15384615384615385,0.5,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
51,0.0,0.0,8.0,3.0,2.0,4.0,2.0,3.0,2.0,6.0,0.2,0.07407407407407407,0.03571428571428571,0.3076923076923077,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
52,0.0,8.0,3.0,9.0,6.0,8.0,5.0,5.0,6.0,6.0,0.6,0.18518518518518517,0.07142857142857142,0.9230769230769231,0.4,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
53,0.0,7.0,2.0,5.0,4.0,6.0,5.0,6.0,3.0,7.0,0.06666666666666667,0.14814814814814814,0.07142857142857142,0.7692307692307693,0.1,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
54,0.0,8.0,0.0,8.0,5.0,9.0,4.0,7.0,6.0,3.0,0.06666666666666667,0.2222222222222222,0.3214285714285714,1.0,0.15000000000000002,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
55,0.0,3.0,4.0,2.0,2.0,3.0,4.0,0.0,1.0,1.0,0.13333333333333333,0.07407407407407407,0.0,0.23076923076923078,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
56,1.0,9.0,4.0,7.0,7.0,9.0,7.0,5.0,9.0,2.0,0.06666666666666667,0.14814814814814814,0.3214285714285714,0.5384615384615385,0.05,0.0,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True
57,0.0,7.0,5.0,6.0,3.0,6.0,3.0,5.0,8.0,8.0,0.4666666666666667,0.14814814814814814,0.07142857142857142,0.7692307692307693,0.15000000000000002,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
58,1.0,9.0,4.0,9.0,6.0,8.0,7.0,7.0,9.0,5.0,0.06666666666666667,0.1111111111111111,0.3571428571428571,1.0,0.05,0.0,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False
59,1.0,7.0,5.0,6.0,5.0,9.0,7.0,7.0,6.0,9.0,0.06666666666666667,0.18518518518518517,0.17857142857142855,0.7692307692307693,0.15000000000000002,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
60,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,0.06666666666666667,0.037037037037037035,0.0,0.3076923076923077,0.15000000000000002,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
61,0.0,0.0,5.0,1.0,1.0,3.0,0.0,1.0,2.0,7.0,0.13333333333333333,0.07407407407407407,0.0,0.23076923076923078,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
62,0.0,5.0,5.0,7.0,0.0,3.0,0.0,0.0,7.0,7.0,0.2,0.2962962962962963,0.07142857142857142,0.46153846153846156,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
63,1.0,8.0,1.0,8.0,5.0,9.0,6.0,4.0,8.0,6.0,0.06666666666666667,0.1111111111111111,0.21428571428571427,0.8461538461538463,0.05,0.0,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True
64,0.0,7.0,1.0,7.0,4.0,6.0,3.0,4.0,2.0,3.0,0.26666666666666666,0.14814814814814814,0.07142857142857142,0.9230769230769231,0.15000000000000002,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
65,0.0,6.0,2.0,7.0,3.0,6.0,5.0,4.0,9.0,1.0,0.26666666666666666,0.2962962962962963,0.07142857142857142,0.7692307692307693,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
66,0.0,7.0,0.0,7.0,0.0,4.0,0.0,2.0,2.0,6.0,0.06666666666666667,0.25925925925925924,0.10714285714285714,0.6153846153846154,0.25,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
67,0.0,7.0,2.0,7.0,5.0,8.0,7.0,7.0,5.0,3.0,0.06666666666666667,0.25925925925925924,0.14285714285714285,0.3076923076923077,0.2,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
68,1.0,1.0,6.0,0.0,1.0,0.0,1.0,2.0,4.0,7.0,0.06666666666666667,0.037037037037037035,0.03571428571428571,0.15384615384615385,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
69,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.037037037037037035,0.0,0.15384615384615385,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
70,1.0,9.0,1.0,8.0,4.0,8.0,7.0,5.0,6.0,8.0,0.06666666666666667,0.4074074074074074,0.3571428571428571,0.7692307692307693,0.25,0.3333333333333333,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
71,0.0,7.0,0.0,5.0,6.0,6.0,2.0,6.0,8.0,4.0,0.06666666666666667,0.18518518518518517,0.07142857142857142,0.7692307692307693,0.2,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
72,0.0,8.0,8.0,9.0,6.0,9.0,5.0,5.0,8.0,1.0,0.4666666666666667,0.07407407407407407,0.17857142857142855,0.38461538461538464,0.25,1.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
73,0.0,7.0,0.0,7.0,5.0,8.0,7.0,6.0,3.0,1.0,0.2,0.14814814814814814,0.2857142857142857,0.46153846153846156,0.15000000000000002,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
74,0.0,0.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,9.0,0.2,0.1111111111111111,0.0,0.23076923076923078,0.4,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
75,0.0,7.0,2.0,5.0,7.0,8.0,6.0,5.0,8.0,5.0,0.26666666666666666,0.37037037037037035,0.10714285714285714,1.0,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
76,0.0,6.0,5.0,8.0,2.0,5.0,0.0,2.0,4.0,7.0,0.3333333333333333,0.3333333333333333,0.07142857142857142,0.6153846153846154,0.35000000000000003,0.6666666666666666,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False
77,0.0,1.0,5.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,0.06666666666666667,0.07407407407407407,0.03571428571428571,0.3076923076923077,0.1,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
78,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.06666666666666667,0.037037037037037035,0.0,0.15384615384615385,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
79,1.0,8.0,5.0,8.0,7.0,9.0,6.0,4.0,4.0,2.0,0.06666666666666667,0.25925925925925924,0.21428571428571427,0.38461538461538464,0.25,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
80,1.0,8.0,3.0,9.0,7.0,9.0,7.0,7.0,7.0,6.0,0.0,0.18518518518518517,0.2857142857142857,0.6923076923076923,0.2,0.0,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True
81,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0.06666666666666667,0.0,0.0,0.23076923076923078,0.15000000000000002,0.0,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
82,1.0,5.0,0.0,8.0,0.0,5.0,0.0,0.0,7.0,1.0,0.13333333333333333,0.37037037037037035,0.03571428571428571,0.6153846153846154,0.4,0.0,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False
83,0.0,2.0,8.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,0.26666666666666666,0.1111111111111111,0.03571428571428571,0.3076923076923077,0.4,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
84,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.06666666666666667,0.037037037037037035,0.0,0.15384615384615385,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
85,0.0,1.0,8.0,2.0,2.0,3.0,2.0,0.0,5.0,5.0,0.2,0.1111111111111111,0.0,0.23076923076923078,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
86,0.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,8.0,3.0,0.06666666666666667,0.07407407407407407,0.17857142857142855,0.23076923076923078,0.15000000000000002,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
87,0.0,9.0,5.0,5.0,5.0,8.0,4.0,6.0,8.0,0.0,0.06666666666666667,0.1111111111111111,0.3571428571428571,1.0,0.05,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
88,0.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,0.13333333333333333,0.037037037037037035,0.0,0.3076923076923077,0.35000000000000003,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
89,0.0,3.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.3333333333333333,0.1111111111111111,0.03571428571428571,0.3076923076923077,0.35000000000000003,0.6666666666666666,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False
90,1.0,5.0,5.0,6.0,2.0,4.0,0.0,1.0,6.0,4.0,0.26666666666666666,0.2222222222222222,0.03571428571428571,0.46153846153846156,0.35000000000000003,0.3333333333333333,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True
91,0.0,9.0,6.0,6.0,6.0,9.0,6.0,7.0,9.0,7.0,0.06666666666666667,0.18518518518518517,0.21428571428571427,0.5384615384615385,0.1,0.0,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False
92,0.0,5.0,7.0,4.0,3.0,4.0,1.0,0.0,2.0,1.0,0.06666666666666667,0.07407407407407407,0.07142857142857142,0.38461538461538464,0.1,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
93,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.155,0.15128968253968253,0.09507334183673469,0.4453983516483517,0.26582589285714286,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
94,0.0,0.0,0.0,5.0,6.0,7.0,5.0,5.0,7.0,8.0,0.8,0.25925925925925924,0.07142857142857142,0.6153846153846154,0.45,1.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
95,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,0.06666666666666667,0.037037037037037035,0.0,0.15384615384615385,0.35000000000000003,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
96,0.0,0.0,8.0,7.0,5.0,8.0,6.0,5.0,4.0,5.0,0.06666666666666667,0.07407407407407407,0.14285714285714285,0.6153846153846154,0.05,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
97,0.0,4.0,6.0,2.0,1.0,2.0,0.0,0.0,1.0,9.0,0.06666666666666667,0.037037037037037035,0.0,0.23076923076923078,0.35000000000000003,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
98,0.0,1.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.2,0.1111111111111111,0.03571428571428571,0.23076923076923078,0.25,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
99,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.155,0.15128968253968253,0.09507334183673469,0.4453983516483517,0.26582589285714286,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
100,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,6.0,0.06666666666666667,0.07407407407407407,0.0,0.23076923076923078,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
101,0.0,4.0,6.0,7.0,0.0,3.0,0.0,0.0,8.0,6.0,0.3333333333333333,0.25925925925925924,0.14285714285714285,0.46153846153846156,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True
102,0.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,9.0,0.13333333333333333,0.07407407407407407,0.0,0.23076923076923078,0.35000000000000003,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
103,0.0,8.0,3.0,5.0,5.0,8.0,6.0,0.0,9.0,4.0,0.06666666666666667,0.18518518518518517,0.25,0.9230769230769231,0.1,0.0,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False
104,0.0,5.0,2.0,4.0,6.0,5.0,6.0,6.0,3.0,3.0,0.13333333333333333,0.18518518518518517,0.07142857142857142,0.5384615384615385,0.25,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
105,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.13333333333333333,0.07407407407407407,0.0,0.23076923076923078,0.4,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True
106,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.13333333333333333,0.07407407407407407,0.0,0.23076923076923078,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
107,0.0,9.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,4.0,0.13333333333333333,0.3333333333333333,0.17857142857142855,0.8461538461538463,0.25,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
108,0.0,7.0,6.0,8.0,7.0,7.0,6.0,5.0,8.0,8.0,0.06666666666666667,0.2222222222222222,0.10714285714285714,0.46153846153846156,0.2,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
109,1.0,9.0,3.0,5.0,6.0,9.0,5.0,5.0,6.0,7.0,0.06666666666666667,0.1111111111111111,0.39285714285714285,0.38461538461538464,0.05,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
110,0.0,1.0,8.0,0.0,1.0,0.0,2.0,0.0,2.0,7.0,0.06666666666666667,0.037037037037037035,0.0,0.23076923076923078,0.25,0.0,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
